trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,0,-155.71473860068713,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",30,0,-104.29505850387167,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,0,-146.2562460485748,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-25.264025936113434,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",25,0,-104.58004467038852,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,0,-65.30051776982374,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,0,-91.96688650674446,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",30,0,-102.0876755786193,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",25,0,-94.1116916094073,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",30,0,-46.61401096461784,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",20,0,-29.289126979927335,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,13,12.165404407841246,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",20,0,-51.82597988266591,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,6,-19.845525089236162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,0,-21.587677038773673,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,2,9.529937981410587,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",35,1,-16.24776414495377,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",25,0,34.8575578224714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,0,15.242825122839573,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,5,22.523704879080857,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-29.515027409396094,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,6,23.73048897619371,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.585178685548758,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,26.392823914070487,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,24.10103918926145,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,31.27975057126252,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,9,-11.372955313041338,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.043656602303756,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,30.30529090631201,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,14.204262481212004,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
