trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.99}",20,0,-75.65025857733622,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.9801}",20,8,-29.202261435337444,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.4, 'e': 0.970299}",30,0,-284.3103301429487,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 5}",0
4,False,"{'a': 0.4, 'e': 0.96059601}",25,3,-87.23174166654874,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.4, 'e': 0.9509900498999999}",20,0,-186.05576923912406,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.941480149401}",20,0,-99.35801908005047,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9320653479069899}",20,0,-88.86983554951624,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9227446944279201}",30,0,-121.41457872966102,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9135172474836408}",25,14,-48.878832242427436,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9043820750088044}",30,0,-118.14384751132263,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.8953382542587164}",20,0,-58.82030606888056,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.8863848717161292}",25,9,-21.82877978539044,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.8775210229989678}",30,0,-199.385763701162,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
14,False,"{'a': 0.4, 'e': 0.8687458127689782}",20,0,-72.53546895782375,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8600583546412884}",25,0,-158.91601630228428,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.8514577710948755}",25,0,-70.29700952052471,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.8429431933839268}",25,0,-39.64337821361938,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.8345137614500875}",25,0,-118.26211316297666,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.8261686238355866}",20,0,-96.96296462591266,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.8179069375972308}",20,0,-28.13508848949801,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.8097278682212584}",25,0,-92.4418400235926,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.8016305895390459}",25,0,-125.0142974530789,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.7936142836436554}",25,2,-102.66146245073593,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 1}",1
24,False,"{'a': 0.4, 'e': 0.7856781408072188}",20,0,-221.96262447668107,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
25,False,"{'a': 0.4, 'e': 0.7778213593991467}",25,0,-141.17746012039004,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.7700431458051551}",20,0,-48.32216540649256,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.7623427143471035}",20,12,-3.734995748941503,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.4, 'e': 0.7547192872036325}",20,6,-77.29432139049202,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.7471720943315961}",20,9,-58.287577706364004,"{0: 6, 1: 1, 2: 2, 3: 2, 4: 0}",1
30,False,"{'a': 0.4, 'e': 0.7397003733882802}",25,15,-3.955951970728086,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.4, 'e': 0.7323033696543975}",20,0,-71.03561887020318,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.7249803359578535}",25,0,-143.5918626197407,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.7177305325982749}",20,16,7.172532739743961,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.4, 'e': 0.7105532272722921}",25,0,-66.69771048248195,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.7034476949995692}",20,0,-89.12831875179512,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.6964132180495735}",20,0,-142.06431864357697,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
37,False,"{'a': 0.4, 'e': 0.6894490858690778}",20,0,-54.54346193052238,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.4, 'e': 0.682554595010387}",20,0,-97.76995709901604,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.6757290490602831}",30,0,-33.652235278016285,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.4, 'e': 0.6689717585696803}",30,17,-36.60471810968295,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.6622820409839835}",25,0,-53.0855453560912,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.6556592205741436}",20,0,0.12378525361274006,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.6491026283684022}",30,15,-74.3850513574193,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
44,False,"{'a': 0.4, 'e': 0.6426116020847181}",20,0,-101.80460567204138,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.4, 'e': 0.6361854860638709}",20,0,-158.41052815114628,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
46,False,"{'a': 0.4, 'e': 0.6298236312032323}",20,4,-0.5840283024870268,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.6235253948912}",30,13,-73.951581065118,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
48,False,"{'a': 0.4, 'e': 0.617290140942288}",25,0,-106.1064534111234,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.611117239532865}",20,0,-3.554853180876885,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.6050060671375364}",35,8,-177.1480726903709,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 2}",1
51,False,"{'a': 0.4, 'e': 0.598956006466161}",25,0,-60.565133252579706,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.5929664464014994}",30,0,-128.09556419348542,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
53,False,"{'a': 0.4, 'e': 0.5870367819374844}",25,2,-87.50380932366497,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 1}",1
54,False,"{'a': 0.4, 'e': 0.5811664141181095}",25,3,-76.86128699436149,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
55,False,"{'a': 0.4, 'e': 0.5753547499769285}",25,0,-112.53851783543996,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.5696012024771592}",30,19,8.590136910334767,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.5639051904523875}",20,16,8.052893038518445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.5582661385478637}",25,0,-148.36417474224044,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.5526834771623851}",30,3,-8.25349800783416,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.5471566423907612}",25,11,-2.9024240566161854,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.5416850759668536}",20,0,-94.47419717849901,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.4, 'e': 0.536268225207185}",20,0,-60.8774126787206,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.5309055429551132}",20,5,13.46298795816125,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.525596487525562}",30,0,-102.9045624031342,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.5203405226503064}",20,0,-57.32185938496055,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.5151371174238033}",20,3,-40.88899171872576,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
67,False,"{'a': 0.4, 'e': 0.5099857462495653}",30,15,13.576048466509715,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.5048858887870696}",20,0,14.01914755300244,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.4998370298991989}",20,0,-56.8907065047375,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.49483865960020695}",20,0,-153.1065076943341,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
71,False,"{'a': 0.4, 'e': 0.4898902730042049}",25,5,17.163489686699556,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.48499137027416284}",20,0,-12.290110799093771,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.4801414565714212}",25,15,-0.5982139157038144,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.47534004200570695}",20,9,-27.07222300508856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.4, 'e': 0.4705866415856499}",35,15,-24.486572084817777,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.4, 'e': 0.46588077516979337}",20,8,7.882886989772704,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.46122196741809546}",25,5,-10.922853481083695,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.4566097477439145}",20,0,-74.64557066496269,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.45204365026647536}",25,0,-10.013030081409175,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.4475232137638106}",20,15,-10.24050487949725,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.4430479816261725}",25,16,-23.062787286649296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.43861750180991077}",25,3,-69.11497451370823,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 1}",1
83,False,"{'a': 0.4, 'e': 0.43423132679181164}",30,6,-12.154212957448802,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.4298890135238935}",30,0,-25.170825339512028,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.4255901233886546}",30,13,11.912020400652843,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.421334222154768}",30,10,-10.597413435563885,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.41712087993322033}",20,1,-22.850999115972225,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.4, 'e': 0.41294967113388814}",30,21,9.44051218677737,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.40882017442254925}",20,2,24.41152803260065,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.4047319726783238}",30,22,12.771110158561171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.40068465295154054}",25,8,-35.57692699162007,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
