trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-96.37678314767841,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,0,-190.13338146262845,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-123.67486922160688,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-234.22919413651923,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-138.04030827239916,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-111.99262168391076,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-78.7461722752627,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,15,4.37429476364934,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",30,13,-85.45937477437408,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,12,-69.60255479497229,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-109.86668000281382,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",25,7,-143.97769780459961,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-164.28894663611098,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",30,0,-188.68627027129838,"{0: 13, 1: 7, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-151.02404545290256,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-150.10788968713933,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-55.78397894696237,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-131.91285116477493,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-92.19533598977436,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-88.00250249896489,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0.0}",25,0,-126.22098314045458,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0.0}",20,0,-115.42787880963158,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0.0}",20,0,-74.91746853867421,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0.0}",20,0,-130.82540750133506,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0.0}",20,0,-103.54942912983923,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0.0}",20,0,-222.11642361297203,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
7,True,"{'a': 0, 'e': 0.0}",20,0,-144.6116612505398,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0.0}",20,0,-51.10312686576132,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0.0}",20,0,-54.63714989857394,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0.0}",30,0,-213.09920908064873,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
